YEAR,SITE,DETERMINAND,ANNUAL_AVERAGE,UNITOFMEASUREMENT
1940,Windermere (North),Salvelinus alpinus,2.09,CPUE
1941,Windermere (North),Salvelinus alpinus,7.3,CPUE
1942,Windermere (North),Salvelinus alpinus,7.71,CPUE
1943,Windermere (North),Salvelinus alpinus,6.38,CPUE
1943,Windermere (North),Perca fluviatilis,90.22,CPUE
1943,Windermere (South),Perca fluviatilis,78.62,CPUE
1944,Windermere (North),Salvelinus alpinus,5.63,CPUE
1944,Windermere (North),Perca fluviatilis,58.59,CPUE
1944,Windermere (South),Perca fluviatilis,39.51,CPUE
1944,Windermere (North),Esox lucius,0.19,CPUE
1944,Windermere (South),Esox lucius,0.22,CPUE
1945,Windermere (North),Salvelinus alpinus,15.67,CPUE
1945,Windermere (North),Perca fluviatilis,59.25,CPUE
1945,Windermere (South),Perca fluviatilis,48.82,CPUE
1945,Windermere (North),Esox lucius,0.06,CPUE
1945,Windermere (South),Esox lucius,0.06,CPUE
1946,Windermere (North),Salvelinus alpinus,8.55,CPUE
1946,Windermere (North),Perca fluviatilis,62.72,CPUE
1946,Windermere (South),Perca fluviatilis,79.63,CPUE
1946,Windermere (North),Esox lucius,0.03,CPUE
1946,Windermere (South),Esox lucius,0.04,CPUE
1947,Windermere (North),Salvelinus alpinus,30.56,CPUE
1947,Windermere (North),Perca fluviatilis,19.9,CPUE
1947,Windermere (South),Perca fluviatilis,47.65,CPUE
1947,Windermere (North),Esox lucius,0.08,CPUE
1947,Windermere (South),Esox lucius,0.04,CPUE
1948,Windermere (North),Salvelinus alpinus,22.44,CPUE
1948,Windermere (North),Perca fluviatilis,29.42,CPUE
1948,Windermere (South),Perca fluviatilis,42.35,CPUE
1948,Windermere (North),Esox lucius,0.05,CPUE
1948,Windermere (South),Esox lucius,0.03,CPUE
1949,Windermere (North),Salvelinus alpinus,12.75,CPUE
1949,Windermere (North),Perca fluviatilis,6.2,CPUE
1949,Windermere (South),Perca fluviatilis,26.13,CPUE
1949,Windermere (North),Esox lucius,0.08,CPUE
1949,Windermere (South),Esox lucius,0.03,CPUE
1950,Windermere (North),Salvelinus alpinus,23.75,CPUE
1950,Windermere (North),Perca fluviatilis,5.82,CPUE
1950,Windermere (South),Perca fluviatilis,17.47,CPUE
1950,Windermere (North),Esox lucius,0.1,CPUE
1950,Windermere (South),Esox lucius,0.09,CPUE
1951,Windermere (North),Salvelinus alpinus,22.67,CPUE
1951,Windermere (North),Perca fluviatilis,17.64,CPUE
1951,Windermere (South),Perca fluviatilis,26.29,CPUE
1951,Windermere (North),Esox lucius,0.11,CPUE
1951,Windermere (South),Esox lucius,0.07,CPUE
1952,Windermere (North),Salvelinus alpinus,18.44,CPUE
1952,Windermere (North),Perca fluviatilis,7.84,CPUE
1952,Windermere (South),Perca fluviatilis,32.08,CPUE
1952,Windermere (North),Esox lucius,0.11,CPUE
1952,Windermere (South),Esox lucius,0.15,CPUE
1953,Windermere (North),Salvelinus alpinus,13.38,CPUE
1953,Windermere (North),Perca fluviatilis,13.1,CPUE
1953,Windermere (South),Perca fluviatilis,37.57,CPUE
1953,Windermere (North),Esox lucius,0.1,CPUE
1953,Windermere (South),Esox lucius,0.11,CPUE
1954,Windermere (North),Salvelinus alpinus,15.63,CPUE
1954,Windermere (North),Perca fluviatilis,9.25,CPUE
1954,Windermere (South),Perca fluviatilis,49.69,CPUE
1954,Windermere (North),Esox lucius,0.07,CPUE
1954,Windermere (South),Esox lucius,0.08,CPUE
1955,Windermere (North),Salvelinus alpinus,31.75,CPUE
1955,Windermere (North),Perca fluviatilis,6.26,CPUE
1955,Windermere (South),Perca fluviatilis,18.21,CPUE
1955,Windermere (North),Esox lucius,0.11,CPUE
1955,Windermere (South),Esox lucius,0.11,CPUE
1956,Windermere (North),Salvelinus alpinus,31,CPUE
1956,Windermere (North),Perca fluviatilis,9.32,CPUE
1956,Windermere (South),Perca fluviatilis,18.24,CPUE
1956,Windermere (North),Esox lucius,0.2,CPUE
1956,Windermere (South),Esox lucius,0.09,CPUE
1957,Windermere (North),Salvelinus alpinus,24.7,CPUE
1957,Windermere (North),Perca fluviatilis,4.97,CPUE
1957,Windermere (South),Perca fluviatilis,31.5,CPUE
1957,Windermere (North),Esox lucius,0.22,CPUE
1957,Windermere (South),Esox lucius,0.07,CPUE
1958,Windermere (North),Salvelinus alpinus,16.13,CPUE
1958,Windermere (North),Perca fluviatilis,13.04,CPUE
1958,Windermere (South),Perca fluviatilis,61.1,CPUE
1958,Windermere (North),Esox lucius,0.34,CPUE
1958,Windermere (South),Esox lucius,0.1,CPUE
1959,Windermere (North),Salvelinus alpinus,22.25,CPUE
1959,Windermere (North),Perca fluviatilis,14.12,CPUE
1959,Windermere (South),Perca fluviatilis,52.06,CPUE
1959,Windermere (North),Esox lucius,0.1,CPUE
1959,Windermere (South),Esox lucius,0.23,CPUE
1960,Windermere (North),Salvelinus alpinus,41.63,CPUE
1960,Windermere (North),Perca fluviatilis,53.63,CPUE
1960,Windermere (South),Perca fluviatilis,80.35,CPUE
1960,Windermere (North),Esox lucius,0.09,CPUE
1960,Windermere (South),Esox lucius,0.33,CPUE
1961,Windermere (North),Salvelinus alpinus,22.78,CPUE
1961,Windermere (North),Perca fluviatilis,47.07,CPUE
1961,Windermere (South),Perca fluviatilis,82.83,CPUE
1961,Windermere (North),Esox lucius,0.11,CPUE
1961,Windermere (South),Esox lucius,0.42,CPUE
1962,Windermere (North),Salvelinus alpinus,36.22,CPUE
1962,Windermere (North),Perca fluviatilis,99.03,CPUE
1962,Windermere (South),Perca fluviatilis,92.83,CPUE
1962,Windermere (North),Esox lucius,0.2,CPUE
1962,Windermere (South),Esox lucius,0.2,CPUE
1963,Windermere (North),Salvelinus alpinus,47.5,CPUE
1963,Windermere (North),Perca fluviatilis,89.37,CPUE
1963,Windermere (South),Perca fluviatilis,28.33,CPUE
1963,Windermere (North),Esox lucius,0.19,CPUE
1963,Windermere (South),Esox lucius,0.18,CPUE
1964,Windermere (North),Salvelinus alpinus,38.88,CPUE
1964,Windermere (North),Perca fluviatilis,53.6,CPUE
1964,Windermere (South),Perca fluviatilis,14.85,CPUE
1964,Windermere (North),Esox lucius,0.18,CPUE
1964,Windermere (South),Esox lucius,0.14,CPUE
1965,Windermere (North),Salvelinus alpinus,85.63,CPUE
1965,Windermere (North),Perca fluviatilis,28.87,CPUE
